site,surber,taxa,n,northing,easting
Murray,s3,Ostracoda,1,5334950,1507735
Murray,s3,Potamopyrgus,1,5334950,1507735
Murray,s3,Stenoperla,3,5334950,1507735
Murray,s3,Tanypodinae,1,5334950,1507735
Murray,s3,Zelandobius,1,5334950,1507735
One Horse Creek,s1,Acari,3,5317165,1502552
One Horse Creek,s1,Archichauliodes,16,5317165,1502552
One Horse Creek,s1,Ceratopogonidae,6,5317165,1502552
One Horse Creek,s1,Chironominae,1,5317165,1502552
One Horse Creek,s1,Coloburiscus,69,5317165,1502552
One Horse Creek,s1,Costachorema,5,5317165,1502552
One Horse Creek,s1,Deleatidium,132,5317165,1502552
One Horse Creek,s1,Diamesinae,2,5317165,1502552
One Horse Creek,s1,Elmidae,17,5317165,1502552
One Horse Creek,s1,Empididae,1,5317165,1502552
One Horse Creek,s1,Helicopsyche,5,5317165,1502552
One Horse Creek,s1,Hydrophilidae,1,5317165,1502552
One Horse Creek,s1,Nesameletus,1,5317165,1502552
One Horse Creek,s1,Oligochaetae,38,5317165,1502552
One Horse Creek,s1,Orthocladiinae,131,5317165,1502552
One Horse Creek,s1,Potamopyrgus,14,5317165,1502552
One Horse Creek,s1,Stenoperla,1,5317165,1502552
One Horse Creek,s1,Tanypodinae,5,5317165,1502552
One Horse Creek,s1,Zelandobius,23,5317165,1502552
One Horse Creek,s1,Zelolessica,5,5317165,1502552
One Horse Creek,s1,Zephlebia,3,5317165,1502552
One Horse Creek,s2,Acari,11,5317165,1502552
One Horse Creek,s2,Ameletopsis,1,5317165,1502552
One Horse Creek,s2,Archichauliodes,18,5317165,1502552
One Horse Creek,s2,Austroperla,13,5317165,1502552
One Horse Creek,s2,Austrosimulium,1,5317165,1502552
One Horse Creek,s2,Ceratopogonidae,15,5317165,1502552
One Horse Creek,s2,Chironominae,3,5317165,1502552
One Horse Creek,s2,Coloburiscus,98,5317165,1502552
One Horse Creek,s2,Costachorema,8,5317165,1502552
One Horse Creek,s2,Deleatidium,199,5317165,1502552
One Horse Creek,s2,Diamesinae,6,5317165,1502552
One Horse Creek,s2,Elmidae,20,5317165,1502552
One Horse Creek,s2,Empididae,6,5317165,1502552
One Horse Creek,s2,Helicopsyche,5,5317165,1502552
One Horse Creek,s2,Hydraenidae,11,5317165,1502552
One Horse Creek,s2,Oligochaetae,24,5317165,1502552
One Horse Creek,s2,Orthocladiinae,266,5317165,1502552
One Horse Creek,s2,Platyhelminthes,1,5317165,1502552
One Horse Creek,s2,Potamopyrgus,44,5317165,1502552
One Horse Creek,s2,Psilochorema,1,5317165,1502552
One Horse Creek,s2,Tanypodinae,11,5317165,1502552
One Horse Creek,s2,Taraperla,1,5317165,1502552
One Horse Creek,s2,Zelandobius,35,5317165,1502552
One Horse Creek,s2,Zelolessica,7,5317165,1502552
One Horse Creek,s2,Zephlebia,6,5317165,1502552
One Horse Creek,s3,Acari,13,5317165,1502552
One Horse Creek,s3,Ameletopsis,4,5317165,1502552
One Horse Creek,s3,Archichauliodes,6,5317165,1502552
One Horse Creek,s3,Austroperla,4,5317165,1502552
One Horse Creek,s3,Ceratopogonidae,6,5317165,1502552
One Horse Creek,s3,Chironominae,2,5317165,1502552
One Horse Creek,s3,Coloburiscus,33,5317165,1502552
One Horse Creek,s3,Costachorema,3,5317165,1502552
One Horse Creek,s3,Deleatidium,112,5317165,1502552
One Horse Creek,s3,Elmidae,10,5317165,1502552
One Horse Creek,s3,Empididae,4,5317165,1502552
One Horse Creek,s3,Helicopsyche,5,5317165,1502552
One Horse Creek,s3,Hydraenidae,1,5317165,1502552
One Horse Creek,s3,Oligochaetae,55,5317165,1502552
One Horse Creek,s3,Orthocladiinae,211,5317165,1502552
One Horse Creek,s3,Platyhelminthes,1,5317165,1502552
One Horse Creek,s3,Potamopyrgus,39,5317165,1502552
One Horse Creek,s3,Tanypodinae,3,5317165,1502552
One Horse Creek,s3,Taraperla,1,5317165,1502552
One Horse Creek,s3,Zelandobius,11,5317165,1502552
One Horse Creek,s3,Zelolessica,8,5317165,1502552
Packtrack,s1,Orthocladiinae,70,5389990,1506255
Packtrack,s2,Acari,1,5389990,1506255
Packtrack,s2,Orthocladiinae,106,5389990,1506255
Packtrack,s3,Acari,8,5389990,1506255
Packtrack,s3,Diamesinae,1,5389990,1506255
Packtrack,s3,Empididae,2,5389990,1506255
Packtrack,s3,Orthocladiinae,352,5389990,1506255
Packtrack,s3,Ostracoda,2,5389990,1506255
Portal,s1,Acari,2,5389700,1506350
Portal,s1,Orthocladiinae,577,5389700,1506350
Portal,s2,Orthocladiinae,8,5389700,1506350
Portal,s3,Orthocladiinae,15,5389700,1506350
Stream X,s1,Acari,1,NA,NA
Stream X,s1,Aoteapsyche,2,NA,NA
Stream X,s1,Beraeoptera,1,NA,NA
Stream X,s1,Diamesinae,2,NA,NA
Stream X,s1,Hydrochorema,1,NA,NA
Stream X,s1,Oligochaetae,7,NA,NA
Stream X,s1,Orthocladiinae,2,NA,NA
Stream X,s1,Plecoptera,6,NA,NA
Stream X,s1,Stenoperla,1,NA,NA
Stream X,s2,Acari,2,NA,NA
Stream X,s2,Beraeoptera,2,NA,NA
Stream X,s2,Ephemeroptera,1,NA,NA
Stream X,s2,Oligochaetae,1,NA,NA
Stream X,s2,Spaniocerca,6,NA,NA
Stream X,s3,Aoteapsyche,1,NA,NA
Stream X,s3,Diamesinae,1,NA,NA
Stream X,s3,Leptophlebiidae,1,NA,NA
Stream X,s3,Oligochaetae,3,NA,NA
Stream X,s3,Orthocladiinae,1,NA,NA
Stream Y,s1,Empididae,3,NA,NA
Stream Y,s1,Orthocladiinae,7,NA,NA
Stream Y,s2,Acari,1,NA,NA
Stream Y,s2,Diptera,3,NA,NA
Stream Y,s2,Empididae,17,NA,NA
Stream Y,s2,Oligochaetae,1,NA,NA
Stream Y,s2,Orthocladiinae,12,NA,NA
Stream Y,s2,Scirtidae,1,NA,NA
Stream Y,s3,Chironominae,1,NA,NA
Stream Y,s3,Copepod,1,NA,NA
Stream Y,s3,Diamesinae,1,NA,NA
Stream Y,s3,Empididae,29,NA,NA
Stream Y,s3,Orthocladiinae,11,NA,NA
Stream Y,s3,Scirtidae,1,NA,NA
Sullivan East,s1,Aoteapsyche,1,5377645,1498661
Sullivan East,s1,Austrosimulium,1,5377645,1498661
Sullivan East,s1,Chironominae,1,5377645,1498661
Sullivan East,s1,Deleatidium,2,5377645,1498661
Sullivan East,s1,Diamesinae,4,5377645,1498661
Sullivan East,s1,Hydrobiosis,1,5377645,1498661
Sullivan East,s1,Oligochaetae,18,5377645,1498661
Sullivan East,s1,Orthocladiinae,21,5377645,1498661
Sullivan East,s1,Zelandobius,3,5377645,1498661
Sullivan East,s2,Acari,2,5377645,1498661
Sullivan East,s2,Aoteapsyche,2,5377645,1498661
Sullivan East,s2,Deleatidium,20,5377645,1498661
Sullivan East,s2,Hydraenidae,1,5377645,1498661
Sullivan East,s2,Orthocladiinae,17,5377645,1498661
Sullivan East,s2,Zelandobius,2,5377645,1498661
Sullivan East,s3,Ameletopsis,1,5377645,1498661
Sullivan East,s3,Aphrophila,1,5377645,1498661
Sullivan East,s3,Ceratopogonidae,2,5377645,1498661
Sullivan East,s3,Chironominae,1,5377645,1498661
Sullivan East,s3,Deleatidium,83,5377645,1498661
Sullivan East,s3,Diamesinae,4,5377645,1498661
Sullivan East,s3,Elmidae,1,5377645,1498661
Sullivan East,s3,Hydrobiosis,2,5377645,1498661
Sullivan East,s3,Oligochaetae,1,5377645,1498661
Sullivan East,s3,Orthocladiinae,68,5377645,1498661
Sullivan East,s3,Oxyethira,1,5377645,1498661
Sullivan East,s3,Psilochorema,1,5377645,1498661
Sullivan East,s3,Zelandobius,18,5377645,1498661
Sullivan West,s1,Aoteapsyche,1,5377541,1498061
Sullivan West,s1,Austroclima,1,5377541,1498061
Sullivan West,s1,Diamesinae,68,5377541,1498061
Sullivan West,s1,Orthocladinae,5,5377541,1498061
Sullivan West,s1,Pycnocentria,1,5377541,1498061
Sullivan West,s1,Zelolessica,1,5377541,1498061
Sullivan West,s2,Orthocladinae,7,5377541,1498061
Sullivan West,s2,Oxyethira,1,5377541,1498061
Sullivan West,s3,Aoteapsyche,1,5377541,1498061
Sullivan West,s3,Austroclima,1,5377541,1498061
Sullivan West,s3,Austrosimulium,1,5377541,1498061
Sullivan West,s3,Hydraenidae,2,5377541,1498061
Sullivan West,s3,Orthocladinae,5,5377541,1498061
Sullivan West,s3,Zelandobius,2,5377541,1498061
Warne,s1,Acari,1,5395728,1512120
Warne,s1,Austrosimulium,2,5395728,1512120
Warne,s1,Coloburiscus,2,5395728,1512120
Warne,s1,Deleatidium,5,5395728,1512120
Warne,s1,Hydraenidae,2,5395728,1512120
Warne,s1,Hydrobiosis,2,5395728,1512120
Warne,s1,Orthocladiinae,17,5395728,1512120
Warne,s1,Oxyethira,6,5395728,1512120
Warne,s1,Zelandobius,1,5395728,1512120
Warne,s1,Aoteapsyche,1,5395728,1512120
Warne,s1,Coloburiscus,1,5395728,1512120
Warne,s1,Deleatidium,2,5395728,1512120
Warne,s1,Hydrobiosis,2,5395728,1512120
Warne,s1,Orthocladiinae,7,5395728,1512120
Warne,s1,Oxyethira,12,5395728,1512120
Warne,s1,Zelandobius,3,5395728,1512120
Warne,s1,Ceratopogonidae,1,5395728,1512120
Warne,s1,Empididae,1,5395728,1512120
Warne,s1,Orthocladiinae,2,5395728,1512120
Warne,s1,Oxyethira,1,5395728,1512120
Warne,s1,Potamopyrgus,2,5395728,1512120
Warne,s1,Zelandobius,3,5395728,1512120
Warne,s2,Acari,3,5395728,1512120
Warne,s2,Aoteapsyche,1,5395728,1512120
Warne,s2,Deleatidium,6,5395728,1512120
Warne,s2,Orthocladiinae,6,5395728,1512120
Warne,s2,Spaniocercoides,2,5395728,1512120
Warne,s3,Deleatidium,9,5395728,1512120
Warne,s3,Oxyethira,6,5395728,1512120
Warne,s3,Pycnocentria,1,5395728,1512120
Warne,s3,Spaniocercoides,1,5395728,1512120
Warne,s3,Stenoperla,1,5395728,1512120
Warne,s3,Zephlebia,1,5395728,1512120
Warne,s3,Acari,4,5395728,1512120
Warne,s3,Aoteapsyche,1,5395728,1512120
Warne,s3,Austrosimulium,1,5395728,1512120
Warne,s3,Hydrobiosis,1,5395728,1512120
Warne,s3,Orthocladiinae,12,5395728,1512120
Warne,s3,Oxyethira,8,5395728,1512120
Warne,s3,Spaniocercoides,3,5395728,1512120
Warne,s3,Tanypodinae,1,5395728,1512120
Warne,s3,Aoteapsyche,3,5395728,1512120
Warne,s3,Empididae,1,5395728,1512120
Warne,s3,Hydrobiosis,1,5395728,1512120
Warne,s3,Oxyethira,1,5395728,1512120
Warne,s3,Spaniocercoides,11,5395728,1512120
